"","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif_logFC1","signif_logFC2","signif_logFC3","Gene.Symbol","signif"
"EIF3F",-0.0172243009580819,7.38890718446033,-0.0686995698364858,0.945548468836038,0.996863708343732,-5.05606700576477,FALSE,FALSE,FALSE,"EIF3F",FALSE
"PFDN2",-0.0181583530103729,10.6421980531161,-0.0685497315552418,0.945667040767267,0.996863708343732,-5.05607335408239,FALSE,FALSE,FALSE,"PFDN2",FALSE
"ANTKMT",0.0280067823003293,7.83736121024977,0.0683310693033965,0.945840077592302,0.996863708343732,-5.05608259345395,FALSE,FALSE,FALSE,"ANTKMT",FALSE
"TM9SF1",-0.0208581009386308,9.3677590150435,-0.0682675251460447,0.945890363307856,0.996863708343732,-5.05608527291969,FALSE,FALSE,FALSE,"TM9SF1",FALSE
"NQO2",0.0178342874330646,7.7616605656939,0.0679514916156373,0.946140459985618,0.996863708343732,-5.0560985620825,FALSE,FALSE,FALSE,"NQO2",FALSE
"SLC25A11",0.0209484103079097,9.74868466216953,0.0678426893825096,0.946226563125712,0.996863708343732,-5.05610312293574,FALSE,FALSE,FALSE,"SLC25A11",FALSE
"ESRP1",0.0219716238183107,10.830265530213,0.0671633156005043,0.946764215801421,0.996863708343732,-5.0561314361875,FALSE,FALSE,FALSE,"ESRP1",FALSE
"ABCC10",-0.01593358486511,8.82743965966636,-0.066412199261358,0.947358674351623,0.996863708343732,-5.05616240776367,FALSE,FALSE,FALSE,"ABCC10",FALSE
"POLR2G",-0.0148322340106041,11.4538060443209,-0.0663234062820455,0.947428950092384,0.996863708343732,-5.0561660460435,FALSE,FALSE,FALSE,"POLR2G",FALSE
"SLC9A1",0.00841237340831634,7.55979870061817,0.0662332075502241,0.947500338858057,0.996863708343732,-5.05616973694144,FALSE,FALSE,FALSE,"SLC9A1",FALSE
"CCND1",0.0480370833127089,8.70544759965067,0.0660275632316299,0.947663099917612,0.996863708343732,-5.05617813305387,FALSE,FALSE,FALSE,"CCND1",FALSE
"SERTAD2",0.0194079212717486,9.72076298996628,0.0658452273979936,0.94780741493049,0.996863708343732,-5.05618555568822,FALSE,FALSE,FALSE,"SERTAD2",FALSE
"SEPTIN11",0.0262803698737174,7.64247593795609,0.0657667823337549,0.947869503109964,0.996863708343732,-5.05618874276283,FALSE,FALSE,FALSE,"SEPTIN11",FALSE
"FCGR2B",-0.0452323647844365,8.40121857697992,-0.065714842385625,0.947910613038326,0.996863708343732,-5.05619085089473,FALSE,FALSE,FALSE,"FCGR2B",FALSE
"SS18L1",0.0238226021855464,9.37148744413271,0.0653015328948817,0.9482377483063,0.996863708343732,-5.05620756690379,FALSE,FALSE,FALSE,"SS18L1",FALSE
"TNFAIP3",-0.029989718160339,9.32840766450497,-0.0648556293686436,0.948590691946723,0.996863708343732,-5.05622548291857,FALSE,FALSE,FALSE,"TNFAIP3",FALSE
"PPARD",0.0106693845949053,6.80160826528462,0.0648275380931145,0.948612927234713,0.996863708343732,-5.05622660749231,FALSE,FALSE,FALSE,"PPARD",FALSE
"ABCA1",-0.0148188506726996,7.33301405412589,-0.0647883832739829,0.948643919797524,0.996863708343732,-5.05622817415862,FALSE,FALSE,FALSE,"ABCA1",FALSE
"PUS7",0.0264014330740255,9.90830755098173,0.064724741122163,0.94869429520856,0.996863708343732,-5.05623071859539,FALSE,FALSE,FALSE,"PUS7",FALSE
"TBC1D10B",-0.014858689231311,10.0157600964862,-0.0646557411028036,0.948748911834561,0.996863708343732,-5.05623347441716,FALSE,FALSE,FALSE,"TBC1D10B",FALSE
"CRYBG3",0.021473830827636,8.9113689878863,0.0643790842636638,0.948967900696314,0.996863708343732,-5.05624449442271,FALSE,FALSE,FALSE,"CRYBG3",FALSE
"TARS2",-0.0157306895564555,8.90410944285301,-0.0643765998078909,0.948969867295633,0.996863708343732,-5.05624459317141,FALSE,FALSE,FALSE,"TARS2",FALSE
"CLCN2",0.0126478337637065,7.57432892038778,0.0641810157094222,0.949124685129642,0.996863708343732,-5.0562523550215,FALSE,FALSE,FALSE,"CLCN2",FALSE
"BAD",-0.0121220643915628,7.59003880675126,-0.064040167461155,0.949236177126465,0.996863708343732,-5.05625793002873,FALSE,FALSE,FALSE,"BAD",FALSE
"VASP",-0.0281782167691155,9.13187187963465,-0.0638924635365431,0.949353097012814,0.996863708343732,-5.0562637632417,FALSE,FALSE,FALSE,"VASP",FALSE
"B3GAT3",-0.0172222846216906,8.38844282166925,-0.0638917967150797,0.949353624859778,0.996863708343732,-5.05626378954569,FALSE,FALSE,FALSE,"B3GAT3",FALSE
"COX20",-0.0209463557064943,9.2689887691877,-0.0637716710897732,0.949448715075496,0.996863708343732,-5.05626852364113,FALSE,FALSE,FALSE,"COX20",FALSE
"MYBPH",0.0106904986320732,6.78636794979411,0.0634675628602172,0.949689447366882,0.996863708343732,-5.05628046859045,FALSE,FALSE,FALSE,"MYBPH",FALSE
"THYN1",0.0207463550919699,9.70550049009682,0.063337235445275,0.94979261609819,0.996863708343732,-5.05628557019689,FALSE,FALSE,FALSE,"THYN1",FALSE
"TMEM184B",-0.0210607578839217,9.61658512619568,-0.0633237403380287,0.949803299035366,0.996863708343732,-5.05628609785764,FALSE,FALSE,FALSE,"TMEM184B",FALSE
"APOC2",0.0102031466046839,7.13624802336376,0.0627782898694654,0.950235093922795,0.996863708343732,-5.05630733096275,FALSE,FALSE,FALSE,"APOC2",FALSE
"UBP1",0.0164393212779974,10.6528888409638,0.0624668307210282,0.950481661084828,0.996863708343732,-5.05631937296717,FALSE,FALSE,FALSE,"UBP1",FALSE
"HNRNPDL",-0.0135929425988118,9.58736095912064,-0.0622990445084635,0.95061449136004,0.996863708343732,-5.05632583530098,FALSE,FALSE,FALSE,"HNRNPDL",FALSE
"TCAF1",0.0194104512494021,8.27298837468584,0.0615762248493253,0.951186737733821,0.996863708343732,-5.05635347623086,FALSE,FALSE,FALSE,"TCAF1",FALSE
"CYFIP1",0.0152993001853745,11.6208383344796,0.0615423646296993,0.951213545044997,0.996863708343732,-5.05635476315263,FALSE,FALSE,FALSE,"CYFIP1",FALSE
"ECPAS",-0.0144613495812268,8.34616310420794,-0.0608578915812227,0.951755458114788,0.996863708343732,-5.05638062610182,FALSE,FALSE,FALSE,"ECPAS",FALSE
"S100A10",-0.0262546421007628,9.34411002530313,-0.0606609086106207,0.951911418359152,0.996863708343732,-5.05638801555473,FALSE,FALSE,FALSE,"S100A10",FALSE
"TIMM44",0.0180193453830768,8.23535739774346,0.0606386762999262,0.951929020795601,0.996863708343732,-5.05638884805472,FALSE,FALSE,FALSE,"TIMM44",FALSE
"GALNT1",0.0225721684059242,9.72200341532383,0.0606108083143484,0.951951085313064,0.996863708343732,-5.05638989115446,FALSE,FALSE,FALSE,"GALNT1",FALSE
"FAM107A",0.0519505926147338,9.07645529286466,0.0601149637340678,0.952343677328534,0.996863708343732,-5.05640837049086,FALSE,FALSE,FALSE,"FAM107A",FALSE
"ATP5PB",0.018457578660706,9.67645991432756,0.0600173829500015,0.952420939718756,0.996863708343732,-5.05641198929919,FALSE,FALSE,FALSE,"ATP5PB",FALSE
"PUM3",0.0117310270454118,7.64895696741895,0.0596440714713698,0.952716524078246,0.996863708343732,-5.05642577939668,FALSE,FALSE,FALSE,"PUM3",FALSE
"APTX",-0.0105838832147244,7.73838923942506,-0.0596107077811046,0.952742941448725,0.996863708343732,-5.05642700766127,FALSE,FALSE,FALSE,"APTX",FALSE
"TBC1D22A",0.0116623983578089,8.61493727005811,0.0595296757336443,0.952807102848977,0.996863708343732,-5.05642998794741,FALSE,FALSE,FALSE,"TBC1D22A",FALSE
"JAK1",-0.011289408067927,8.0364758663487,-0.0592722864493708,0.953010906497779,0.996863708343732,-5.056439427611,FALSE,FALSE,FALSE,"JAK1",FALSE
"B4GALT4",0.0223083358440312,8.58945120191901,0.0591614188327247,0.953098693669702,0.996863708343732,-5.05644348104195,FALSE,FALSE,FALSE,"B4GALT4",FALSE
"VASH1",0.0104667658711534,6.64806307910775,0.0589297092161711,0.953282167828733,0.996863708343732,-5.05645192807837,FALSE,FALSE,FALSE,"VASH1",FALSE
"OSBPL10",0.00879362049321297,7.3248479360481,0.0586960939029601,0.953467153566955,0.996863708343732,-5.05646041103672,FALSE,FALSE,FALSE,"OSBPL10",FALSE
"MPI",-0.0121717915200613,7.7333368885015,-0.0586206959373174,0.953526857178383,0.996863708343732,-5.05646314167064,FALSE,FALSE,FALSE,"MPI",FALSE
"PIK3C2B",-0.0177148633163963,9.62801662471076,-0.0585411787616525,0.953589822864191,0.996863708343732,-5.05646601768513,FALSE,FALSE,FALSE,"PIK3C2B",FALSE
"PEX26",-0.0103735589360533,6.93759899831041,-0.0585338217759287,0.95359564850945,0.996863708343732,-5.05646628357878,FALSE,FALSE,FALSE,"PEX26",FALSE
