"Gene","log2FoldChange","pvalue","padj"
"SPEN",0.0138307710857732,0.918298082356394,0.999975617694874
"ZBTB17",0.11428809297016,0.682411119180275,0.999975617694874
"HSPB7",-0.488050688589319,0.323958867168957,0.999975617694874
"CLCNKA",0.928527151252626,0.156070819592804,0.999975617694874
"CLCNKB",0.723424644953913,0.381460926088758,0.999975617694874
"FAM131C",0.938397690330947,0.236354373251973,0.999975617694874
"EPHA2",-0.632454813620093,0.0776346555770471,0.999975617694874
"ENSG00000227959",-0.221751277098188,0.679237126557794,0.999975617694874
"ENSG00000224621",-0.320580411986411,0.567396807901856,0.999975617694874
"ARHGEF19",0.357651492832875,0.396628908289388,0.999975617694874
"ANO7L1",0.210440924790772,0.640173337060581,0.999975617694874
"RSG1",-0.080928195880976,0.83160449393755,0.999975617694874
"FBXO42",-0.143415066930251,0.667807658301346,0.999975617694874
"SZRD1",-0.0564565587248093,0.79748111088226,0.999975617694874
"SPATA21",-1.30908215427247,0.093479923296594,0.999975617694874
"NECAP2",0.305032303494546,0.248444189763959,0.999975617694874
"LINC01772",-0.323115044657875,0.363514463503584,0.999975617694874
"CROCCP3",0.378884349765362,0.240127040530307,0.999975617694874
"NBPF1",-0.518876244393556,0.104373931386115,0.999975617694874
"CROCCP2",0.241182404625425,0.436321548125863,0.999975617694874
"MST1P2",0.741614774158922,0.152564345561975,0.999975617694874
"EIF1AXP1",-0.486045988692853,0.283474761061024,0.999975617694874
"CROCC",0.852580551546969,0.039169502606093,0.889011376020703
"MST1L",-0.306556191204052,0.659178667315411,0.999975617694874
"ENSG00000238142",-0.222131701836198,0.578123208929661,0.999975617694874
"RNU1-2",1.19055175031726,0.0788865357319788,0.999975617694874
"MFAP2",0.0276372968398756,0.944568353354021,0.999975617694874
"ATP13A2",-0.00408886522378476,0.986852669841502,0.999975617694874
"SDHB",0.187095431295033,0.491209707627707,0.999975617694874
"PADI2",-0.775940240591346,0.132746657454233,0.999975617694874
"ENSG00000204362",-0.816370032858056,0.260199306936484,0.999975617694874
"PADI1",-2.5479634926673,0.0061940316834175,0.481027833716132
"PADI3",-5.13406430207041,9.76238540891426e-07,0.00202512549986752
"PADI4",-1.69500273956666,0.0416211740668084,0.910885529072596
"RCC2",-0.0249563703042328,0.938694751781695,0.999975617694874
"ARHGEF10L",-0.22712044074336,0.405017466536327,0.999975617694874
"ACTL8",-3.15109022196609,0.047886318078634,0.937226148422693
